id,value
1, 0.000E+00
2, 1.279E-03
3, 2.790E-03
4, 4.912E-03
5, 7.636E-03
6, 1.089E-02
7, 1.460E-02
8, 1.868E-02
9, 2.303E-02
10, 2.754E-02
11, 3.206E-02
12, 3.205E-02
13, 3.205E-02
14, 3.206E-02
15, 2.754E-02
16, 2.303E-02
17, 1.868E-02
18, 1.460E-02
19, 1.089E-02
20, 7.636E-03
21, 4.912E-03
22, 2.790E-03
23, 1.279E-03
24, 0.000E+00
25, 0.000E+00
26, 0.000E+00
27, 1.252E-03
28, 1.252E-03
29, 2.887E-03
30, 2.887E-03
31, 5.055E-03
32, 5.055E-03
33, 7.781E-03
34, 7.781E-03
35, 1.102E-02
36, 1.102E-02
37, 1.471E-02
38, 1.471E-02
39, 1.876E-02
40, 1.876E-02
41, 2.308E-02
42, 2.308E-02
43, 2.755E-02
44, 2.755E-02
45, 0.000E+00
46, 5.933E-04
47, 5.052E-04
48, 0.000E+00
49, 0.000E+00
50, 5.933E-04
51, 5.052E-04
52, 0.000E+00
53, 0.000E+00
54, 1.252E-03
55, 1.279E-03
56, 0.000E+00
57, 0.000E+00
58, 5.933E-04
59, 0.000E+00
60, 5.933E-04
61, 0.000E+00
62, 1.252E-03
63, 1.804E-02
64, 2.245E-02
65, 2.240E-02
66, 1.795E-02
67, 1.803E-02
68, 2.244E-02
69, 2.238E-02
70, 1.794E-02
71, 1.875E-02
72, 2.308E-02
73, 2.301E-02
74, 1.867E-02
75, 2.703E-02
76, 2.245E-02
77, 2.703E-02
78, 2.706E-02
79, 2.244E-02
80, 2.706E-02
81, 2.762E-02
82, 2.308E-02
83, 2.762E-02
84, 2.702E-02
85, 2.703E-02
86, 2.757E-02
87, 4.115E-03
88, 2.012E-03
89, 2.012E-03
90, 4.115E-03
91, 4.115E-03
92, 2.012E-03
93, 2.012E-03
94, 4.115E-03
95, 5.056E-03
96, 2.887E-03
97, 2.887E-03
98, 5.056E-03
99, 3.918E-03
100, 6.677E-03
101, 6.854E-03
102, 3.918E-03
103, 6.677E-03
104, 6.854E-03
105, 4.912E-03
106, 7.637E-03
107, 7.781E-03
108, 3.164E-02
109, 2.702E-02
110, 3.165E-02
111, 3.177E-02
112, 2.703E-02
113, 3.178E-02
114, 3.249E-02
115, 2.757E-02
116, 3.254E-02
117, 1.824E-03
118, 1.824E-03
119, 2.790E-03
120, 1.391E-02
121, 1.015E-02
122, 9.998E-03
123, 1.379E-02
124, 1.391E-02
125, 1.015E-02
126, 9.999E-03
127, 1.379E-02
128, 1.471E-02
129, 1.102E-02
130, 1.089E-02
131, 1.460E-02
132, 5.052E-04
133, 5.052E-04
134, 1.279E-03
135, 1.804E-02
136, 1.803E-02
137, 1.875E-02
138, 6.854E-03
139, 6.677E-03
140, 3.918E-03
141, 6.854E-03
142, 6.677E-03
143, 3.918E-03
144, 7.781E-03
145, 7.637E-03
146, 4.912E-03
147, 1.379E-02
148, 1.391E-02
149, 1.379E-02
150, 1.391E-02
151, 1.460E-02
152, 1.471E-02
153, 9.998E-03
154, 1.015E-02
155, 9.999E-03
156, 1.015E-02
157, 1.089E-02
158, 1.102E-02
159, 1.824E-03
160, 1.824E-03
161, 2.790E-03
162, 3.164E-02
163, 3.177E-02
164, 3.249E-02
165, 0.000E+00
166, 0.000E+00
167, 0.000E+00
168, 1.795E-02
169, 2.240E-02
170, 1.794E-02
171, 2.238E-02
172, 1.867E-02
173, 2.301E-02
174, 3.165E-02
175, 3.178E-02
176, 3.254E-02
