id,value
23,-8.383E+00
59, 0.000E+00
173, 8.545E+00
213, 8.531E+00
265, 6.504E+00
294, 0.000E+00
358,-8.402E+00
398,-5.410E+00
424, 6.410E+00
468,-6.091E+00
548, 7.274E+00
609, 4.533E+00
621, 1.329E+01
647, 6.611E+00
680,-5.677E+00
915, 1.178E+00
1016, 3.148E+00
1021, 2.975E+00
1031, 0.000E+00
1068, 7.665E+00
1150, 7.963E+00
1158, 1.975E+01
1164, 1.803E+01
1259,-6.376E+00
1378, 6.588E+00
1402, 1.271E+00
1420, 2.154E+01
60,-4.747E+00
145, 6.313E+00
388, 6.191E+00
411,-4.885E+00
446, 6.657E+00
531, 5.555E+00
541, 2.633E+00
560, 1.034E+00
625,-6.556E+00
669, 2.558E+00
716, 2.805E+00
724,-4.160E+00
809, 5.354E+00
877,-4.108E+00
898, 1.584E+01
909, 7.954E-01
1230, 7.759E+00
1250, 1.346E+01
1277, 3.387E+00
1413,-7.624E+00
603, 2.604E-04
622, 0.000E+00
710, 6.541E+00
962, 6.933E+00
1056, 5.470E-02
1097,-1.489E-04
1311,-1.948E+00
18, 1.629E+00
32, 5.963E+00
165, 1.445E-01
301, 2.588E+00
364,-2.305E+00
896, 4.474E+00
942, 2.235E+00
1041, 1.909E+00
1093, 5.256E+00
1095,-1.975E+00
1143, 2.531E+00
1291, 2.403E-03
1295, 6.820E-03
1416, 1.655E+00
1432,-2.531E+00
4, 7.684E+00
37, 4.340E+00
142, 6.852E+00
148, 3.682E+00
179, 5.968E+00
185,-5.529E+00
259, 7.529E+00
321, 0.000E+00
326,-5.448E+00
334, 8.851E+00
350, 1.571E+00
393, 3.994E+00
472, 1.820E+00
483, 0.000E+00
485,-6.627E+00
518, 4.364E+00
630, 3.878E+00
777,-8.357E+00
900, 1.067E+01
949, 3.647E+00
979,-5.079E+00
1048, 2.030E+01
1050,-6.407E+00
1071, 3.266E+00
1127, 1.857E+01
1199, 1.810E+00
1242, 3.466E+00
1255, 9.271E+00
1274,-5.216E+00
1389, 2.084E+01
1411,-5.411E+00
1454, 0.000E+00
26,-4.289E+00
